ID,RegioS,Code_1,Naam_2,SorteringNaam_3,Code_4,Naam_5,Code_6,Naam_7,Code_8,Naam_9,Code_10,Naam_11,Code_12,Naam_13,Code_14,Naam_15,Code_16,Naam_17,Code_18,Naam_19,Code_20,Naam_21,Code_22,Naam_23,Code_24,Naam_25,Code_26,Naam_27,Code_28,Naam_29,Code_30,Naam_31,Code_32,Naam_33,Code_34,Naam_35,Code_36,Naam_37,Code_38,Naam_39,Code_40,Naam_41,Code_42,Naam_43,Code_44,Naam_45,Code_46,Omschrijving_47,Code_48,Omschrijving_49,Inwonertal_50,Omgevingsadressendichtheid_51
18,Arnhem,GM0202    ,Arnhem                                            ,Arnhem                                            ,AM07      ,Midden-Gelderland                                 ,AR03      ,Gelderland                                        ,CR15      ,Arnhem/Nijmegen                                   ,CS150     ,Arnhem/Nijmegen                                   ,CP1500    ,Arnhem/Nijmegen                                   ,GG1911    ,Veiligheids- en Gezondheidsregio Gelderland-Midden,JZ28      ,Arnhem                                            ,KK43      ,Oost                                              ,LB2505    ,Veluwezoom en Betuwe                              ,LG10      ,Rivierengebied                                    ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES08      ,Arnhem/Nijmegen                                   ,MC14      ,Arnhem/Nijmegen                                   ,RA0309    ,Midden-Gelderland                                 ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR08      ,Veluwe en Veluwerand                              ,VT05      ,Gelderland,VR07      ,Gelderland-Midden                                 ,ZK04      ,Arnhem                                            ,7         ,150 000 tot 250 000 inwoners                      ,2         ,Sterk stedelijk          ,161368,2205
19,Assen,GM0106    ,Assen                                             ,Assen                                             ,AM01      ,Groningen                                         ,AR05      ,Noord-Nederland                                   ,CR07      ,Noord-Drenthe                                     ,CS070     ,Noord-Drenthe                                     ,CP0700    ,Noord-Drenthe                                     ,GG0706    ,GGD Drenthe                                       ,JZ04      ,Drenthe                                           ,KK42      ,Noord                                             ,LB2202    ,Smilde en Centraal Zandgebied in Drenthe          ,LG02      ,Veenkoloniën en Oldambt                           ,LD01      ,Noord-Nederland                                   ,PV22      ,Drenthe                                           ,.         ,.                                                 ,ES03      ,Drenthe                                           ,MC07      ,Noord- en Midden Drenthe                          ,RA0102    ,Drenthe                                           ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR12      ,"Groningse, Friese en Drentse Zandgronden          ",VT02      ,Drenthe   ,VR03      ,Drenthe                                           ,ZK06      ,Drenthe                                           ,5         ,50 000 tot 100 000 inwoners                       ,2         ,Sterk stedelijk          ,68606,1562
20,Asten,GM0743    ,Asten                                             ,Asten                                             ,AM32      ,Helmond-De Peel                                   ,AR10      ,Oost-Brabant                                      ,CR36      ,Zuidoost-Noord-Brabant                            ,CS360     ,Zuidoost-Noord-Brabant                            ,CP3600    ,Zuidoost-Noord-Brabant                            ,GG5608    ,GGD Brabant-Zuidoost                              ,JZ39      ,Zuidoost-Brabant                                  ,KK44      ,Zuid                                              ,LB3010    ,Westelijk Peelgebied                              ,LG13      ,Zuidelijk Veehouderijgebied                       ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES26      ,Metropoolregio Eindhoven                          ,MC37      ,Zuidoost-Brabant                                  ,RA1326    ,Zuidoost-Brabant                                  ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR14      ,"O.-Brabant, N.- en M.-Limburg, Nijmegen           ",VT26      ,Zuidoost-B,VR22      ,Brabant-Zuidoost                                  ,ZK30      ,Zuidoost-Brabant                                  ,3         ,10 000 tot 20 000 inwoners                        ,4         ,Weinig stedelijk         ,16734,954
21,Baarle-Nassau,GM0744    ,Baarle-Nassau                                     ,Baarle+Nassau                                     ,AM26      ,Midden-Brabant                                    ,AR11      ,Zeeland-West-Brabant                              ,CR34      ,Midden-Noord-Brabant                              ,CS340     ,Midden-Noord-Brabant                              ,CP3400    ,Midden-Noord-Brabant                              ,GG5206    ,GGD West-Brabant                                  ,JZ35      ,Midden-Brabant                                    ,KK44      ,Zuid                                              ,LB3007    ,De Kempen                                         ,LG13      ,Zuidelijk Veehouderijgebied                       ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES28      ,West-Brabant                                      ,MC34      ,West-Brabant                                      ,RA1323    ,West-Brabant                                      ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR13      ,West- en Midden-Brabant                           ,VT21      ,West-braba,VR20      ,Midden- en West-Brabant                           ,ZK25      ,West-Brabant                                      ,2         ,5 000 tot 10 000 inwoners                         ,5         ,Niet stedelijk           ,6860,343
22,Baarn,GM0308    ,Baarn                                             ,Baarn                                             ,AM14      ,Amersfoort                                        ,AR04      ,Midden-Nederland                                  ,CR17      ,Utrecht                                           ,CS170     ,Utrecht                                           ,CP1702    ,Stadsgewest Amersfoort                            ,GG2514    ,GGD Regio Utrecht                                 ,JZ20      ,Eemland                                           ,KK41      ,Noordwest                                         ,LB2604    ,Eemland                                           ,LG09      ,Hollands/Utrechts Weidegebied                     ,LD03      ,West-Nederland                                    ,PV26      ,Utrecht                                           ,.         ,.                                                 ,ES13      ,Amersfoort                                        ,MC16      ,Eem en Vallei                                     ,RA0513    ,Amersfoort en omgeving                            ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR07      ,Utrechtse Heuvelrug en 't Gooi                    ,VT20      ,Utrecht   ,VR09      ,Utrecht                                           ,ZK23      ,Utrecht                                           ,4         ,20 000 tot 50 000 inwoners                        ,2         ,Sterk stedelijk          ,24873,1615
23,Barendrecht,GM0489    ,Barendrecht                                       ,Barendrecht                                       ,AM22      ,Rijnmond                                          ,AR08      ,Rotterdam                                         ,CR29      ,Groot-Rijnmond                                    ,CS291     ,Rijnmond                                          ,CP2910    ,Rijnmond                                          ,GG4607    ,GGD Rotterdam-Rijnmond                            ,JZ29      ,Rijnmond                                          ,KK45      ,Zuidwest                                          ,LB2802    ,Rotterdam en omgeving                             ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES23      ,Rotterdam/Den Haag                                ,MC29      ,Rijnmond                                          ,RA0919    ,Rijnmond                                          ,RT13      ,Gerechtshof Den Haag                              ,TR04      ,Deltagebied                                       ,VT18      ,Rotterdam-,VR17      ,Rotterdam-Rijnmond                                ,ZK29      ,Zuid-Hollandse Eilanden                           ,4         ,20 000 tot 50 000 inwoners                        ,2         ,Sterk stedelijk          ,48713,1671
24,Barneveld,GM0203    ,Barneveld                                         ,Barneveld                                         ,AM38      ,FoodValley                                        ,AR03      ,Gelderland                                        ,CR13      ,Veluwe                                            ,CS130     ,Veluwe                                            ,CP1300    ,Veluwe                                            ,GG1911    ,Veiligheids- en Gezondheidsregio Gelderland-Midden,JZ21      ,Food Valley                                       ,KK43      ,Oost                                              ,LB2507    ,Westelijke Veluwe                                 ,LG05      ,Centraal Veehouderijgebied                        ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES09      ,Foodvalley                                        ,MC16      ,Eem en Vallei                                     ,RA0309    ,Midden-Gelderland                                 ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR08      ,Veluwe en Veluwerand                              ,VT05      ,Gelderland,VR07      ,Gelderland-Midden                                 ,ZK04      ,Arnhem                                            ,5         ,50 000 tot 100 000 inwoners                       ,4         ,Weinig stedelijk         ,59077,876
25,Beek (L.),GM0888    ,Beek                                              ,Beek                                              ,AM30      ,Zuid-Limburg                                      ,AR09      ,Limburg                                           ,CR39      ,Zuid-Limburg                                      ,CS390     ,Zuid-Limburg                                      ,CP3900    ,Zuid-Limburg                                      ,GG6106    ,GGD Zuid-Limburg                                  ,JZ41      ,Zuid-Limburg                                      ,KK44      ,Zuid                                              ,LB3102    ,Zuid-Limburg                                      ,LG14      ,Zuid-Limburg                                      ,LD04      ,Zuid-Nederland                                    ,PV31      ,Limburg                                           ,.         ,.                                                 ,ES30      ,Zuid-Limburg                                      ,MC39      ,Gewest Zuid-Limburg                               ,RA1428    ,Zuid-Limburg                                      ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR15      ,Zuid-Limburg                                      ,VT25      ,Zuid-Limbu,VR24      ,Limburg-Zuid                                      ,ZK31      ,Zuid-Limburg                                      ,3         ,10 000 tot 20 000 inwoners                        ,4         ,Weinig stedelijk         ,15868,890
26,Beekdaelen,GM1954    ,Beekdaelen                                        ,Beekdaelen                                        ,AM30      ,Zuid-Limburg                                      ,AR09      ,Limburg                                           ,CR39      ,Zuid-Limburg                                      ,CS390     ,Zuid-Limburg                                      ,CP3900    ,Zuid-Limburg                                      ,GG6106    ,GGD Zuid-Limburg                                  ,JZ41      ,Zuid-Limburg                                      ,KK44      ,Zuid                                              ,LB3102    ,Zuid-Limburg                                      ,LG14      ,Zuid-Limburg                                      ,LD04      ,Zuid-Nederland                                    ,PV31      ,Limburg                                           ,.         ,.                                                 ,ES30      ,Zuid-Limburg                                      ,MC39      ,Gewest Zuid-Limburg                               ,RA1428    ,Zuid-Limburg                                      ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR15      ,Zuid-Limburg                                      ,VT25      ,Zuid-Limbu,VR24      ,Limburg-Zuid                                      ,ZK31      ,Zuid-Limburg                                      ,4         ,20 000 tot 50 000 inwoners                        ,5         ,Niet stedelijk           ,35976,499
27,Beemster,GM0370    ,Beemster                                          ,Beemster                                          ,AM17      ,Zaanstreek/Waterland                              ,AR02      ,Noord-Holland                                     ,CR23      ,Groot-Amsterdam                                   ,CS232     ,Overig Groot-Amsterdam                            ,CP2322    ,Edam-Volendam en omgeving                         ,GG7306    ,GGD Zaanstreek/Waterland                          ,JZ09      ,Zaanstreek-Waterland                              ,KK41      ,Noordwest                                         ,LB2706    ,Waterland en N.-Hollandse Droogmakerijen          ,LG08      ,Waterland en Droogmakerijen                       ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES16      ,Noord-Holland Zuid                                ,MC21      ,Agglomeratie Amsterdam                            ,RA0615    ,Zaanstreek en Waterland                           ,RT11      ,Gerechtshof Amsterdam                             ,TR17      ,Overig Nederland                                  ,VT22      ,Zaanstreek,VR11      ,Zaanstreek-Waterland                              ,ZK26      ,Zaanstreek/Waterland                              ,3         ,10 000 tot 20 000 inwoners                        ,4         ,Weinig stedelijk         ,10025,650
28,Beesel,GM0889    ,Beesel                                            ,Beesel                                            ,AM29      ,Noord-Limburg                                     ,AR09      ,Limburg                                           ,CR37      ,Noord-Limburg                                     ,CS370     ,Noord-Limburg                                     ,CP3700    ,Noord-Limburg                                     ,GG6011    ,GGD Limburg-Noord                                 ,JZ37      ,Noord-Limburg                                     ,KK44      ,Zuid                                              ,LB3101    ,Noord-Limburg                                     ,LG13      ,Zuidelijk Veehouderijgebied                       ,LD04      ,Zuid-Nederland                                    ,PV31      ,Limburg                                           ,.         ,.                                                 ,ES29      ,Noord- en Midden-Limburg                          ,MC38      ,Gewest Limburg-Noord                              ,RA1427    ,Noord- en Midden-Limburg                          ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR14      ,"O.-Brabant, N.- en M.-Limburg, Nijmegen           ",VT13      ,Noord- en ,VR23      ,Limburg-Noord                                     ,ZK17      ,Noord- en Midden-Limburg                          ,3         ,10 000 tot 20 000 inwoners                        ,4         ,Weinig stedelijk         ,13483,741
29,Berg en Dal,GM1945    ,Berg en Dal                                       ,Berg en Dal                                       ,AM08      ,Rijk van Nijmegen                                 ,AR03      ,Gelderland                                        ,CR15      ,Arnhem/Nijmegen                                   ,CS150     ,Arnhem/Nijmegen                                   ,CP1500    ,Arnhem/Nijmegen                                   ,GG2014    ,GGD Gelderland-Zuid                               ,JZ32      ,Nijmegen                                          ,KK43      ,Oost                                              ,LB2503    ,Zuidelijk Gelderland                              ,LG04      ,Oostelijk Veehouderijgebied                       ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES08      ,Arnhem/Nijmegen                                   ,MC14      ,Arnhem/Nijmegen                                   ,RA0308    ,Zuid-West Gelderland                              ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR14      ,"O.-Brabant, N.- en M.-Limburg, Nijmegen           ",VT06      ,Gelderland,VR08      ,Gelderland-Zuid                                   ,ZK16      ,Nijmegen                                          ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,34990,653
